Data,Salinidade WE2,Temperatura WE2 ºC,pH WE2,Alcalinidade WE2 (mg/L),NH3-N WE2 (mg/L),NO2 WE2 (mg/L),λ400 WE2  (%Tras),λ500 WE2 (%Tras),Mortality WE2
4/27/2019,35,20.2,7.48,,0.38,0.069,98.3,99.0,50
4/28/2019,36,20,7.51,,0.14,0.074,99.4,100.0,40
4/29/2019,36,20.2,7.54,,0.29,0.076,98.8,99.6,23
4/30/2019,36,20.2,7.53,,0.19,0.068,98.8,99.6,17
5/1/2019,36,20.1,7.5,,0.32,0.088,99.8,100.6,33
5/2/2019,36,20.2,7.44,,0.29,0.097,99.3,100.0,17
5/3/2019,36,20,7.49,,0.2,0.107,98.0,99.1,17
5/4/2019,36,20.1,7.5,,0.38,0.120,98.6,99.5,49
5/5/2019,36,20.2,7.55,,0.4,0.136,97.2,98.6,106
5/6/2019,36,20.4,7.54,,0.44,0.137,97.5,98.8,27
5/7/2019,35,20.4,7.57,,0.39,0.130,99.3,100.1,28
5/8/2019,34,20.1,7.63,,0.26,0.074,98.3,98.9,146
5/9/2019,35,20.3,7.61,,0.25,0.078,98.4,99.0,102
5/10/2019,35,20.3,7.66,,0.12,0.061,97.7,99.0,46
5/11/2019,35,20,7.32,,0.13,0.078,99.7,100.8,76
5/12/2019,35,19.9,7.38,,0.41,0.068,92.7,94.5,54
5/13/2019,36,20.1,7.65,,0.23,0.075,97.7,98.7,13
5/14/2019,36,20.4,7.59,,0.2,0.088,98.7,100.8,38
5/15/2019,36,20.5,7.57,,0.33,0.103,97.0,98.3,57
5/16/2019,36,20.5,7.58,,0.43,0.099,96.8,97.9,11
5/17/2019,36,19.8,7.56,,0.14,0.054,97.9,99.0,43
5/18/2019,36,20.2,7.61,,0.3,0.061,98.7,99.3,42
5/19/2019,36,20,7.56,,0.25,0.062,97.0,98.1,34
5/20/2019,36,19.7,7.55,,0.18,0.068,94.7,96.6,22
5/21/2019,36,20.5,7.55,,0.07,0.065,98.3,99.0,46
5/22/2019,36,20.1,7.58,,0.07,0.055,98.4,99.2,39
5/23/2019,36,20.4,7.56,,0.32,0.067,100.1,101.4,37
5/24/2019,35,19.8,7.56,,0.29,0.077,98.6,100.0,25
5/25/2019,36,20,7.56,,0.4,0.071,95.6,97.2,26
5/26/2019,36,20,7.57,,0.31,0.077,98.1,99.2,11
5/27/2019,36,20.1,7.82,,0.2,0.067,96.1,97.8,22
5/28/2019,36,20.1,7.83,,0.78,0.077,91.7,93.9,30
5/29/2019,36,20,7.85,,0.34,0.081,96.2,97.9,40
5/30/2019,36,20.4,7.78,,0.4,0.091,93.9,95.8,25
5/31/2019,36,20.4,7.87,,0.45,0.097,99.8,100.4,33
6/1/2019,36,21.1,7.8,,0.3,0.093,96.9,98.2,78
6/2/2019,36,21.4,7.78,,0.25,0.049,96.8,98.4,47
6/3/2019,36,21.3,7.76,,0.5,0.105,96.9,98.2,29
6/4/2019,36,21.2,7.81,,0.65,0.104,97.5,98.6,22
6/5/2019,36,20.6,7.81,,0.48,0.111,95.7,97.4,37
6/6/2019,37,20,7.81,,0.29,0.095,96.7,97.9,91
6/7/2019,36,20.1,7.76,,0.34,0.108,97.3,98.7,75
6/8/2019,36,20.3,7.74,,0.59,0.115,100.6,100.8,125
6/9/2019,36,20.2,7.76,,0.64,0.124,100.3,100.9,63
6/10/2019,37,20.4,7.72,,0.69,0.138,96.6,98.4,59
6/11/2019,36,20.6,7.63,,0.75,0.159,94.4,96.4,70
6/12/2019,36,20.2,7.74,,0.75,0.129,98.8,99.8,91
6/13/2019,37,20.1,7.7,,0.57,0.153,95.7,97.3,113
6/14/2019,36,19.8,7.67,,0.57,0.153,96.5,97.9,192
6/15/2019,36,20.8,7.85,,0.42,0.095,99.0,98.8,198
6/16/2019,36,20.8,7.8,,0.28,0.084,97.5,98.6,205
6/17/2019,37,20.5,7.8,,0.48,0.094,92.7,95.6,214
6/18/2019,36,20.4,7.89,,0.33,0.063,98.1,98.9,189
6/19/2019,36,20.8,7.88,,0.15,0.044,98.1,98.8,217
6/20/2019,35,21.1,7.9,,0.22,0.048,97.9,98.8,128
6/21/2019,36,20.9,7.88,,0.19,0.043,98.8,99.3,146
6/22/2019,36,20.7,7.91,,0.27,0.044,98.4,99.5,139
6/23/2019,36,20.4,7.86,,0.23,0.051,97.7,98.8,69
6/24/2019,36,20.9,7.86,,0.24,0.047,96.6,97.5,131
6/25/2019,35,20.9,7.89,,0.18,0.054,97.6,98.5,121
6/26/2019,35,20.9,7.86,,0.29,0.064,98.0,98.9,115
6/27/2019,35,21.3,7.89,,0.35,0.076,97.0,98.3,70
6/28/2019,35,21.1,7.6,,0.38,0.089,98.1,98.9,163
6/29/2019,36,21.2,7.67,,0.72,0.110,96.5,98.0,94
6/30/2019,36,21.7,7.6,,0.87,0.169,94.9,97.0,159
7/1/2019,36,20.8,7.87,,0.69,0.090,96.9,97.8,103
7/2/2019,36,20.5,7.9,,0.31,0.047,94.6,95.9,67
7/3/2019,36,20.5,7.9,,0.2,0.044,100.1,100.7,365
7/4/2019,35,21.2,08.01,,0.1,0.016,99.7,100.0,36
7/5/2019,34,21.1,08.04,,0.01,0.012,99.0,99.5,17
7/6/2019,35,21,7.98,,0.19,0.015,98.1,99.1,111
7/7/2019,34,21,08.03,,0.03,0.015,97.3,98.3,50
7/8/2019,34,21,7.98,,0.08,0.018,98.5,99.1,102
7/9/2019,34,21.1,08.01,,0.54,0.020,99.0,99.5,45
7/10/2019,34,21.5,08.01,,0.02,0.018,100.2,100.6,69
7/11/2019,35,21.5,08.01,,0.16,0.022,97.2,97.8,48
7/12/2019,35,21.1,7.97,,0.07,0.019,99.9,100.5,36
7/13/2019,35,21.3,7.9,,0.07,0.016,95.7,97.0,38
7/14/2019,35,21,7.91,,0.08,0.016,99.2,99.5,36
7/15/2019,35,20.8,8,,0.37,0.020,99.8,100.2,29
7/16/2019,35,21.3,7.98,,0.22,0.027,97.3,98.2,78
7/17/2019,35,21.2,7.86,,0.18,0.033,98.9,99.2,37
7/18/2019,35,20.1,7.93,,0.13,0.030,100.1,100.7,81
7/19/2019,35,20.6,7.93,,0.21,0.032,98.8,99.5,59
7/20/2019,35,20.6,7.95,,0.53,0.037,99.3,99.6,38
7/21/2019,35,21,7.88,,0.43,0.034,97.6,98.2,45
7/22/2019,35,20.4,7.92,,0.23,0.036,98.5,99.4,30
7/23/2019,35,20.8,7.94,,0.11,0.034,98.4,99.4,16
7/24/2019,35,20.8,7.91,,0.33,0.041,98.9,99.6,45
7/25/2019,35,21.5,7.95,,0.14,0.052,96.7,97.9,15
7/26/2019,35,21.3,7.88,,0.17,0.061,98.9,99.7,28
7/27/2019,36,20.6,7.95,,0.01,0.052,103.0,104.0,19
7/28/2019,36,21.3,7.91,,0.31,0.053,95.5,97.4,14
7/29/2019,36,21.4,7.9,,0.1,0.066,94.1,95.9,5
7/30/2019,35,21.1,7.88,,0.57,0.074,95.7,97.5,14
7/31/2019,36,20.5,7.87,,0.42,0.082,98.1,99.1,25
8/1/2019,36,20.7,7.91,,0.71,0.089,98.5,99.3,11
8/2/2019,36,21.3,7.66,,0.57,0.095,98.5,99.7,67
8/3/2019,36,21,7.83,,0.47,0.084,98.8,100.2,49
8/4/2019,35,21.4,7.79,,1.97,0.100,96.1,97.9,29
8/5/2019,36,21.2,7.86,,0.54,0.095,97.8,99.3,9
8/6/2019,35,21.4,7.77,,0.36,0.093,95.4,96.6,25
8/7/2019,35,21.5,7.88,,0.31,0.076,97.6,98.6,29
8/8/2019,35,21.2,7.86,,0.19,0.048,98.8,99.7,98
8/9/2019,35,20.9,7.87,,0.35,0.049,97.2,98.2,35
8/10/2019,35,21.3,7.77,,0.18,0.052,98.0,99.4,46
8/11/2019,35,21.6,7.71,,0.61,0.068,104.1,104.6,48
8/12/2019,35,21.3,7.81,,0.55,0.082,96.1,97.7,19
8/13/2019,36,20.1,7.79,,0.87,0.068,99.5,100.3,20
8/14/2019,35,21.3,7.72,,0.58,0.049,97.7,98.7,44
8/15/2019,35,20.9,7.76,,0.55,0.038,98.0,98.6,47
8/16/2019,36,21.4,7.76,,0.41,0.045,97.8,98.7,9
8/17/2019,36,20.4,7.71,,0.1,0.017,100.1,100.7,188
8/18/2019,35,20.8,7.76,,0.16,0.027,99.6,99.9,27
8/19/2019,35,20.6,7.72,,0.34,0.035,98.5,99.3,12
8/20/2019,36,20.2,7.94,,0.36,0.060,99.2,99.9,39
8/21/2019,35,20.9,7.87,,0.11,0.053,99.7,100.3,88
8/22/2019,35,20.8,7.94,,0.17,0.059,99.0,99.8,75
8/23/2019,35,20.9,7.98,,0.48,0.030,99.7,100.4,70
8/24/2019,35,20.8,7.9,,0.35,0.072,95.8,97.0,33
8/25/2019,36,20.8,7.93,,0.31,0.073,99.0,100.1,26
8/26/2019,35,21.4,7.9,,0.9,0.081,98.0,98.8,58
8/27/2019,35,21,7.94,,0.28,0.081,97.8,98.2,79
8/28/2019,35,19.7,7.95,,0.29,0.051,100.0,100.0,99
8/29/2019,35,21,7.94,,0.14,0.078,96.8,98.1,43
8/30/2019,35,20,7.9,,0.54,0.100,96.8,98.0,64
8/31/2019,35,20.6,7.9,,0.7,0.094,97.6,98.5,106
9/1/2019,36,20.6,7.87,,0.92,0.110,95.4,97.1,120
9/2/2019,35,21,7.86,,0.38,0.126,98.1,99.0,74
9/3/2019,35,21.3,7.86,,0.88,0.147,100.5,100.8,130
9/4/2019,35,21.2,7.89,,0.25,0.100,96.4,98.1,91
9/5/2019,35,20.7,7.9,,01.03,0.096,96.8,97.7,62
9/6/2019,36,20.7,7.89,,0.66,0.069,97.2,98.4,167
9/7/2019,35,21,7.91,,0.19,0.059,97.3,98.6,137
9/8/2019,35,20.6,7.8,,0.06,0.062,97.2,98.3,41
9/9/2019,36,21,7.85,,0.14,0.085,100.2,100.8,41
9/10/2019,36,20.2,7.86,,0.28,0.077,97.7,99.1,153
9/11/2019,36,20.1,7.88,,01.01,0.074,99.1,100.0,79
9/12/2019,35,20.5,7.87,,0.22,0.092,98.1,99.1,92
9/13/2019,35,21.3,7.88,,0.38,0.098,98.5,100.1,46
9/14/2019,35,21,7.88,,0.68,0.117,99.9,100.3,78
9/15/2019,35,21.1,7.86,,0.6,0.117,99.8,100.6,131
9/16/2019,35,21.4,7.85,,0.56,0.134,95.4,97.1,61
9/17/2019,35,21,7.88,,0.23,0.075,99.0,99.8,33
9/18/2019,35,21,7.9,,0.33,0.084,98.3,99.5,69
9/19/2019,35,20.7,7.9,,0.1,0.090,96.0,97.4,139
9/20/2019,35,20.2,7.87,,0.33,0.073,98.0,99.3,122
9/21/2019,35,20.6,7.86,,0.65,0.080,92.3,94.1,87
9/22/2019,35,20.7,7.84,,0.43,0.082,105.9,106.2,107
9/23/2019,35,20.4,7.91,,0.36,0.084,94.7,96.8,43
9/24/2019,35,20.6,7.91,,0.37,0.106,96.5,97.8,55
9/25/2019,35,20.4,7.9,,0.3,0.050,99.2,99.8,74
9/26/2019,35,20.6,7.92,,0.12,0.060,98.3,99.0,53
9/27/2019,35,20.6,7.89,,0.15,0.060,99.1,99.8,37
9/28/2019,35,20,7.9,,0.12,0.056,98.6,99.6,58
9/29/2019,35,20.4,7.88,,0.08,0.065,98.5,97.6,38
9/30/2019,35,21.2,7.84,,0.33,0.086,99.3,100.5,19
10/1/2019,35,21.6,7.86,,0.71,0.093,99.6,100.3,24
10/2/2019,35,21.2,7.86,,0.42,0.077,95.9,97.2,18
10/3/2019,35,20.5,7.82,,0.47,0.066,97.7,98.7,41
10/4/2019,36,21.1,7.86,,0.3,0.080,98.6,99.2,46
10/5/2019,36,21,7.8,,0.45,0.092,98.5,99.3,22
10/6/2019,36,20.4,7.75,,0.39,0.117,98.7,99.6,16
10/7/2019,36,20.6,7.81,,0.27,0.140,100.2,100.7,18
10/8/2019,36,20.5,7.82,,0.23,0.075,100.8,101.2,55
10/9/2019,36,20.4,7.8,,0.38,0.073,96.8,98.3,54
10/10/2019,37,20.4,7.8,,0.22,0.069,97.6,98.4,51
10/11/2019,37,20.4,7.78,,0.4,0.081,100.1,100.4,107
10/12/2019,37,20.7,7.81,,0.32,0.078,98.1,99.0,38
10/13/2019,37,20.7,7.8,,0.27,0.072,98.2,98.9,53
10/14/2019,37,20.6,7.78,,0.2,0.074,93.5,95.1,63
10/15/2019,36,20.5,7.88,,0.54,0.041,98.0,98.8,109
10/16/2019,36,20.4,7.88,,0,0.045,99.5,100.1,103
10/17/2019,36,20.6,7.88,,0.32,0.045,101.2,100.9,89
10/18/2019,36,20.3,7.85,,0.15,0.061,97.7,98.0,212
10/19/2019,36,20,7.82,,0.66,0.072,103.8,104.1,292
10/20/2019,36,20.2,7.8,,0.3,0.074,98.9,99.9,320
10/21/2019,36,20.4,7.83,,0.21,0.049,96.2,97.9,191
10/22/2019,37,20.4,7.81,,0.83,0.059,98.3,99.9,282
10/23/2019,37,20.3,7.82,,0.39,0.057,98.5,99.4,264
10/24/2019,37,20.3,7.81,,0.17,0.031,98.2,99.1,192
10/25/2019,37,20.3,7.93,,0.36,0.036,97.5,98.5,114
10/26/2019,37,20.3,7.89,,0.25,0.029,96.2,97.4,52
10/27/2019,36,20.4,7.93,,0.36,0.047,97.2,98.5,45
10/28/2019,36,20.2,7.93,,0.15,0.049,98.6,98.9,22
10/29/2019,36,20.4,7.91,,0.2,0.039,98.6,99.1,58
10/30/2019,35,20.5,7.94,,0.2,0.043,98.3,99.0,167
10/31/2019,35,20.5,7.93,,0.49,0.046,98.0,98.8,202
11/1/2019,35,20.7,7.8,,0.19,0.057,99.0,99.4,84
11/2/2019,35,20.4,7.8,,0.19,0.051,98.2,99.2,55
11/3/2019,34,20.4,7.76,,0.18,0.085,97.8,98.9,29
11/4/2019,35,20.9,7.81,,0.65,0.098,96.9,98.0,41
11/5/2019,35,19.6,7.76,,0.36,0.083,97.7,98.7,207
11/6/2019,35,20.3,7.84,,0.47,0.038,99.4,99.8,40
11/7/2019,35,19.8,7.88,,0.53,0.041,100.0,100.3,51
11/8/2019,35,20,7.81,,0.01,0.041,100.0,100.5,30
11/9/2019,36,20.7,7.82,,0.29,0.029,99.3,100.3,50
11/10/2019,36,20.5,7.82,,0.27,0.022,98.6,99.3,24
11/11/2019,36,20.2,7.83,,0.08,0.022,99.4,99.7,10
11/12/2019,36,20.1,7.7,,0.46,0.033,98.6,99.4,397
11/13/2019,36,20.1,7.7,,0.46,0.032,101.7,101.6,212
11/14/2019,36,20.3,7.78,,0.27,0.039,97.1,98.6,92
11/15/2019,36,20.4,7.66,,0.45,0.038,99.0,99.6,106
11/16/2019,36,20,7.62,,0.18,0.033,98.1,98.9,77
11/17/2019,36,20,7.65,,0.16,0.034,96.9,97.7,61
11/18/2019,36,20.2,,,0.35,0.042,97.4,97.9,77
11/19/2019,36,20.1,7.5,,0.53,0.044,98.3,98.7,211
11/20/2019,36,20,7.5,,0.17,0.042,99.3,100.3,60
11/21/2019,36,20,7.48,,0.2,0.078,97.0,98.0,171
11/22/2019,36,20,7.5,,0.43,0.048,99.7,100.3,315
11/23/2019,35,20,7.53,,0.55,0.034,98.6,99.2,194
11/24/2019,36,20.4,7.53,,0.38,0.042,100.4,100.8,190
11/25/2019,36,20.1,7.5,,0.24,0.046,98.2,99.1,89
11/26/2019,35,20.1,7.52,,0.75,0.047,97.6,98.3,159
11/27/2019,35,20,7.52,,0.59,0.046,98.4,99.2,163
11/28/2019,35,20.3,7.54,,0.14,0.050,100.2,101.4,55
11/29/2019,35,20.5,7.35,,0.41,0.043,98.3,98.9,89
11/30/2019,35,20.3,7.52,,0.45,0.042,100.1,101.9,78
12/1/2019,33,20.1,7.54,,0.08,0.048,99.6,100.9,84
12/2/2019,35,19.2,7.51,,0.1,0.048,96.9,97.8,28
12/3/2019,35,18.8,7.53,,0.23,0.047,97.9,98.6,106
12/4/2019,36,19,7.5,,0.27,0.058,98.4,99.3,107
12/5/2019,35,18.9,7.26,,0.2,0.053,100.6,101.2,75
12/6/2019,35,20.3,7.27,,0.38,0.052,100.1,100.5,106
12/7/2019,36,20.6,7.25,,0.42,0.060,98.6,99.0,120
12/8/2019,37,20.4,7.23,,0.46,0.063,97.1,98.1,140
12/9/2019,35,20.8,7.26,,0.31,0.067,100.2,101.3,91
12/10/2019,35,20.2,7.22,,0.07,0.082,98.4,99.3,160
12/11/2019,35,20,7.46,,0.38,0.096,97.8,98.7,276
12/12/2019,,,,,,,,,
12/13/2019,,,,,,,,,
12/14/2019,,,,,,,,,
12/15/2019,,,,,,,,,
12/16/2019,,,,,,,,,
12/17/2019,,,,,,,,,
12/18/2019,,,,,,,,,
12/19/2019,,,,,,,,,
12/20/2019,,,,,,,,,
12/21/2019,,,,,,,,,
12/22/2019,,,,,,,,,
12/23/2019,,,,,,,,,
12/24/2019,,,,,,,,,
12/25/2019,,,,,,,,,
12/26/2019,,,,,,,,,
12/27/2019,,,,,,,,,
12/28/2019,,,,,,,,,
12/29/2019,,,,,,,,,
12/30/2019,,,,,,,,,
12/31/2019,,,,,,,,,
